system,user,true_label,student_id,subject,question_id
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 57211
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:


They are now attempting a new question:
Question ID: 22720

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",1,57211,,22720
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 55528
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:


They are now attempting a new question:
Question ID: 11090

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",0,55528,,11090
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 57211
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:
QID: 22720 → Correct

They are now attempting a new question:
Question ID: 13143

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",1,57211,,13143
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 99429
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:


They are now attempting a new question:
Question ID: 13503

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",1,99429,,13503
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 57211
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:
QID: 22720 → Correct
QID: 13143 → Correct

They are now attempting a new question:
Question ID: 19804

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",1,57211,,19804
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 99429
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:
QID: 13503 → Correct

They are now attempting a new question:
Question ID: 26754

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",0,99429,,26754
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 65561
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:


They are now attempting a new question:
Question ID: 854

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",0,65561,,854
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 55528
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:
QID: 11090 → Incorrect

They are now attempting a new question:
Question ID: 25364

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",0,55528,,25364
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 99429
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:
QID: 13503 → Correct
QID: 26754 → Incorrect

They are now attempting a new question:
Question ID: 6092

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",0,99429,,6092
"You are a helpful AI tutor specializing in middle school math. Based on a student's history and subject knowledge, predict what they might answer next and explain your reasoning clearly and supportively.","
Student ID: 111423
Subject: nan

Here is a sequence of math questions this student attempted and whether they answered them correctly:


They are now attempting a new question:
Question ID: 21861

Based on this student's past performance and the current subject, what is the most likely answer they will give?
Explain your reasoning as a tutor who understands their misconceptions and learning style.
",1,111423,,21861
